Name,lat,lon
Ceyzerieu,45.8333,5.73333
Beard-Geovreissiat,46.2,5.56667
La Burbanche,45.85,5.56667
Perrex,46.2333,4.98333
Villemotier,46.35,5.31667
Jasseron,46.2167,5.33333
Corveissiat,46.2333,5.48333
Journans,46.15,5.33333
Sermoyer,46.5,4.98333
Charix,46.1833,5.68333
Arbignieu,45.7333,5.65
Leyssard,46.1667,5.46667
Saint-Jean-de-Thurigneux,45.95,4.88333
Frans,45.9833,4.78333
Tenay,45.9167,5.5
Bage-la-Ville,46.3167,4.95
Montmerle-sur-Saone,46.0833,4.76667
Courmangoux,46.3333,5.36667
Baneins,46.1167,4.9
Lagnieu,45.9,5.35
Attignat,46.2833,5.16667
Saint-Andre-de-Bage,46.3,4.91667
Pont-de-Vaux,46.4333,4.93333
Amberieu-en-Bugey,45.95,5.35
Peyzieux-sur-Saone,46.1167,4.81667
Crozet,46.2806,6.01251
Seyssel,45.9597,5.83194
Beynost,45.8333,5.0
Versonnex,46.3023,6.09723
Saint-Laurent-sur-Saone,46.3,4.83333
Artemare,45.8667,5.7
Montracol,46.1833,5.11667
Parves,45.75,5.75
Pugieu,45.8167,5.65
Virieu-le-Grand,45.85,5.65
Saint-Remy,46.1833,5.16667
Rance,45.9667,4.86667
Grieges,46.25,4.85
Grand-Corent,46.2,5.43333
Outriaz,46.0667,5.55
Montagnieu,45.8,5.46667
Champagne-en-Valromey,45.9,5.68333
Amberieux-en-Dombes,46.0,4.9
La Boisse,45.85,5.03333
Parcieux,45.9167,4.81667
Saint-Didier-d'Aussiat,46.3,5.06667
Saint-Nizier-le-Bouchoux,46.45,5.15
Ars-sur-Formans,45.9833,4.81667
Anglefort,45.9167,5.80833
Corlier,46.0333,5.5
Ferney-Voltaire,46.25,6.11667
Saint-Maurice-de-Remens,45.95,5.28333
Chatillon-la-Palud,45.9667,5.25
Saint-Sulpice,46.3203,5.04167
Saint-Bois,45.7,5.63333
Virignin,45.7167,5.71667
Premillieu,45.8667,5.56667
Genouilleux,46.1167,4.78333
Reyssouze,46.4333,4.91667
Collonges,46.1333,5.9
Saint-Germain-de-Joux,46.1833,5.73333
Bregnier-Cordon,45.65,5.61667
Saint-Martin-le-Chatel,46.2833,5.11667
Marignieu,45.8,5.71667
Neyrolles,46.1333,5.63333
Sulignat,46.1667,4.96667
Beny,46.3333,5.28333
Injoux-Genissiat,46.05,5.78333
Chanay,46.0,5.78333
Chatillon-sur-Chalaronne,46.1167,4.96667
Farges,46.1667,5.91667
Saint-Alban,46.1,5.45
Curtafond,46.2667,5.08333
Viriat,46.25,5.21667
Belleydoux,46.25,5.76667
Bage-le-Chatel,46.3,4.93333
Sainte-Olive,46.0167,4.93333
Saint-Genis-sur-Menthon,46.2833,5.01667
Domsure,46.4167,5.3
Chavannes-sur-Suran,46.2667,5.41667
Priay,46.0,5.28333
Peyrieu,45.6767,5.67751
Lalleyriat,46.15,5.71667
Sergy,46.25,6.0
Saint-Martin-du-Frene,46.1333,5.55
Saint-Maurice-de-Beynost,45.8333,4.96667
Servas,46.1333,5.16667
Cuzieu,45.8192,5.67445
Jayat,46.3667,5.11667
Lavours,45.8,5.76667
Chevroux,46.3833,4.95
Pollieu,45.8,5.75
Beligneux,45.8667,5.11667
Brenaz,45.95,5.71667
Benonces,45.8333,5.48333
Saint-Jean-le-Vieux,46.0284,5.38917
Beauregard,46.002,4.75139
Oyonnax,46.25,5.66667
Mionnay,45.9,4.93333
Germagnat,46.3167,5.45
Coligny,46.3833,5.35
Simandre-sur-Suran,46.2167,5.41667
L'Abergement-Clemenciat,46.15,4.91667
Lescheroux,46.4,5.15
Ornex,46.2833,6.1
Dommartin,46.3417,4.99167
Lompnas,45.8,5.51667
Bettant,45.9333,5.36667
Armix,45.85,5.58333
Feillens,46.3333,4.88333
Chavornay,45.8833,5.7
Challex,46.1833,5.96667
Vongnes,45.8167,5.71667
Magnieu,45.7833,5.71667
Groissiat,46.2167,5.6
Dompierre-sur-Chalaronne,46.1333,4.9
Montluel,45.85,5.05
Le Poizat,46.15,5.7
Hostiaz,45.9,5.53333
Montanges,46.1667,5.8
Sainte-Julie,45.8833,5.28333
Bey,46.2167,4.85
Sonthonnax-la-Montagne,46.2333,5.53333
Mezeriat,46.2333,5.03333
Bellignat,46.25,5.61667
Saint-Marcel,45.9487,4.98723
Belley,45.7667,5.68333
Corbonod,45.95,5.81667
Neyron,45.8148,4.93223
Saint-Paul-de-Varax,46.1,5.13333
Pressiat,46.3333,5.38333
Chazey-Bons,45.8,5.68333
Servignat,46.4333,5.06667
Marlieux,46.0667,5.06667
Andert-et-Condon,45.8,5.65
Hautecourt-Romaneche,46.1583,5.41667
Crottet,46.2833,4.9
Druillat,46.0667,5.31667
Dompierre-sur-Veyle,46.0667,5.2
Perouges,45.9,5.18333
Rignieux-le-Franc,45.9333,5.18333
Giron,46.2333,5.76667
Cerdon,46.0833,5.46667
Cruzilles-les-Mepillat,46.2167,4.88333
Lelex,46.3,5.95
Lhopital,46.0217,5.77834
Segny,46.3,6.08333
Cheignieu-la-Balme,45.8333,5.61667
Saint-Vulbas,45.8333,5.28333
Echallon,46.21,5.74139
Le Montellier,45.9333,5.06667
Martignat,46.2167,5.6
Ceyzeriat,46.1667,5.31667
Montcet,46.2,5.11667
Vonnas,46.2167,5.0
Buellas,46.2,5.13333
Saint-Benigne,46.4333,4.96667
Chevillard,46.1167,5.58333
Bouligneux,46.0167,5.0
Contrevoz,45.8,5.63333
Champdor,46.0167,5.6
Port,46.1667,5.56667
Surjoux,46.0167,5.8
Champfromier,46.2,5.81667
Vesines,46.35,4.86667
Seillonnaz,45.8,5.48333
Varambon,46.0333,5.31667
Le Grand-Abergement,46.0333,5.66667
Jassans-Riottier,45.9833,4.75
Asnieres-sur-Saone,46.3833,4.88333
Condamine,46.1167,5.56667
Lhuis,45.75,5.53333
Romans,46.1167,5.03333
Pizay,45.8833,5.08333
Certines,46.1333,5.26667
Ruffieu,46.0,5.66667
Meximieux,45.9,5.2
Saint-Rambert-en-Bugey,45.95,5.43333
Ambronay,46.0,5.35
Cize,46.2,5.43333
Saint-Germain-sur-Renon,46.0833,5.05
Villette-sur-Ain,45.9884,5.26862
Dagneux,45.85,5.06667
Boissey,46.3833,5.0
Salavre,46.3667,5.35
Brion,46.1728,5.55251
Labalme,46.1,5.48333
Sauverny,46.3167,6.11667
Montceaux,46.1,4.8
Brenod,46.0667,5.6
Miserieux,45.9833,4.81667
Prevessin-Moens,46.25,6.08333
Lent,46.1167,5.2
Marsonnas,46.3333,5.06667
Manziat,46.35,4.9
Trevoux,45.9333,4.76667
Bellegarde-sur-Valserine,46.1,5.81667
Bourg-en-Bresse,46.2,5.21667
Confort,46.15,5.81667
Saint-Denis-les-Bourg,46.2,5.2
Massignieu-de-Rives,45.75,5.76667
Saint-Etienne-sur-Chalaronne,46.15,4.86667
Bohas-Meyriat-Rignat,46.1333,5.4
Chevry,46.2833,6.03333
Fareins,46.0167,4.76667
Gorrevod,46.4167,4.95
Valeins,46.1167,4.86667
Vieu-d'Izenave,46.0833,5.53333
Toussieux,45.9667,4.83333
Arbigny,46.4667,4.96667
Malafretaz,46.3167,5.15
Samognat,46.25,5.58333
Cras-sur-Reyssouze,46.3,5.16667
Messimy-sur-Saone,46.0484,4.76473
Pougny,46.1333,5.95
Sandrans,46.0667,4.98333
Pont-de-Veyle,46.2667,4.88333
Mijoux,46.3667,6.0
Saint-Jean-de-Gonville,46.2167,5.95
Saint-Andre-le-Bouchoux,46.1167,5.08333
Chaneins,46.1,4.85
Joyeux,45.95,5.1
Tramoyes,45.8667,4.96667
Biziat,46.2167,4.93333
Izenave,46.0333,5.53333
Belmont-Luthezieu,45.8795,5.66167
Arbent,46.3,5.68333
Sutrieu,45.95,5.65
Serrieres-de-Briord,45.8081,5.45445
Aranc,46.0,5.5
Chaley,45.95,5.53333
Curciat-Dongalon,46.4667,5.15
Loyettes,45.7667,5.2
Gex,46.3333,6.06667
Courtes,46.4667,5.1
Bereziat,46.3667,5.05
Lapeyrouse,45.9833,4.96667
Apremont,46.2083,5.65833
Villieu-Loyes-Mollon,45.9206,5.22223
Leyment,45.9167,5.3
Etrez,46.3333,5.18333
Gercy,49.8167,3.86667
Villemontoire,49.3,3.33333
Brancourt-le-Grand,49.9667,3.38333
Licy-Clignon,49.1,3.26667
Proisy,49.9,3.73333
Chambry,49.6,3.65
Mont-Saint-Jean,49.7833,4.2
Morgny-en-Thierache,49.7667,4.06667
Mesnil-Saint-Laurent,49.8333,3.35
Annois,49.7167,3.16667
Brunehamel,49.7667,4.18333
Audignicourt,49.4833,3.13333
Montigny-sur-Crecy,49.7167,3.58333
Lor,49.5333,4.05
Chivres-en-Laonnois,49.6333,3.85
Saint-Gobain,49.6,3.38333
Ugny-le-Gay,49.6667,3.16667
